"","artist_name","Valence","danceability","energy","loudness","speechiness","acousticness","liveness","tempo","track_name","album_name","album_release_year"
"1","Taylor Swift",0.0984,0.735,0.444,-10.519,0.0684,0.204,0.17,97.038,"Lavender Haze","Midnights (3am Edition)",2022
"2","Taylor Swift",0.0382,0.658,0.378,-8.3,0.0379,0.0593,0.0976,108.034,"Maroon","Midnights (3am Edition)",2022
"3","Taylor Swift",0.519,0.638,0.634,-6.582,0.0457,0.133,0.152,96.953,"Anti-Hero","Midnights (3am Edition)",2022
"4","Taylor Swift",0.154,0.659,0.323,-13.425,0.0436,0.735,0.116,110.007,"Snow On The Beach (feat. Lana Del Rey)","Midnights (3am Edition)",2022
"5","Taylor Swift",0.376,0.694,0.38,-10.307,0.0614,0.416,0.126,120.044,"You're On Your Own, Kid","Midnights (3am Edition)",2022
"6","Taylor Swift",0.23,0.636,0.377,-11.721,0.0708,0.71,0.115,139.966,"Midnight Rain","Midnights (3am Edition)",2022
"7","Taylor Swift",0.112,0.751,0.502,-8.777,0.162,0.226,0.297,108.989,"Question...?","Midnights (3am Edition)",2022
"8","Taylor Swift",0.16,0.87,0.279,-11.134,0.364,0.16,0.121,79.996,"Vigilante Shit","Midnights (3am Edition)",2022
"9","Taylor Swift",0.412,0.7,0.55,-9.13,0.0653,0.0661,0.091,164.003,"Bejeweled","Midnights (3am Edition)",2022
"10","Taylor Swift",0.141,0.487,0.313,-15.434,0.0487,0.791,0.124,110.039,"Labyrinth","Midnights (3am Edition)",2022
"11","Taylor Swift",0.106,0.649,0.622,-7.054,0.0582,0.074,0.594,90.024,"Karma","Midnights (3am Edition)",2022
"12","Taylor Swift",0.396,0.334,0.161,-14.875,0.0506,0.967,0.115,176.747,"Sweet Nothing","Midnights (3am Edition)",2022
"13","Taylor Swift",0.13,0.661,0.352,-14.077,0.117,0.571,0.0884,125.934,"Mastermind","Midnights (3am Edition)",2022
"14","Taylor Swift",0.554,0.573,0.741,-8.987,0.0353,0.219,0.0842,96.016,"The Great War","Midnights (3am Edition)",2022
"15","Taylor Swift",0.068,0.422,0.235,-12.379,0.0568,0.826,0.115,165.71,"Bigger Than The Whole Sky","Midnights (3am Edition)",2022
"16","Taylor Swift",0.345,0.7,0.509,-10.547,0.0789,0.112,0.137,110.947,"Paris","Midnights (3am Edition)",2022
"17","Taylor Swift",0.755,0.646,0.529,-10.179,0.0864,0.723,0.0885,87.862,"High Infidelity","Midnights (3am Edition)",2022
"18","Taylor Swift",0.347,0.675,0.466,-9.738,0.201,0.361,0.11,140.864,"Glitch","Midnights (3am Edition)",2022
"19","Taylor Swift",0.55,0.483,0.84,-6.508,0.119,0.43,0.146,157.979,"Would've, Could've, Should've","Midnights (3am Edition)",2022
"20","Taylor Swift",0.159,0.562,0.388,-12.088,0.0705,0.481,0.117,107.747,"Dear Reader","Midnights (3am Edition)",2022
"21","Taylor Swift",0.106,0.735,0.46,-10.501,0.0804,0.253,0.184,96.962,"Lavender Haze","Midnights (3am Edition)",2022
"22","Taylor Swift",0.0379,0.65,0.404,-8.403,0.0356,0.0616,0.104,108.03,"Maroon","Midnights (3am Edition)",2022
"23","Taylor Swift",0.474,0.638,0.624,-6.577,0.0441,0.131,0.15,96.889,"Anti-Hero","Midnights (3am Edition)",2022
"24","Taylor Swift",0.172,0.65,0.325,-13.483,0.0399,0.686,0.137,109.947,"Snow On The Beach (feat. Lana Del Rey)","Midnights (3am Edition)",2022
"25","Taylor Swift",0.364,0.693,0.387,-10.304,0.0663,0.392,0.124,120.045,"You're On Your Own, Kid","Midnights (3am Edition)",2022
"26","Taylor Swift",0.228,0.629,0.385,-11.722,0.0749,0.712,0.115,140.002,"Midnight Rain","Midnights (3am Edition)",2022
"27","Taylor Swift",0.131,0.722,0.494,-8.691,0.204,0.216,0.226,108.94,"Question...?","Midnights (3am Edition)",2022
"28","Taylor Swift",0.155,0.875,0.286,-10.943,0.361,0.163,0.127,79.97,"Vigilante Shit","Midnights (3am Edition)",2022
"29","Taylor Swift",0.4,0.693,0.543,-9.153,0.0677,0.0635,0.0839,164.027,"Bejeweled","Midnights (3am Edition)",2022
"30","Taylor Swift",0.143,0.475,0.309,-15.412,0.0423,0.784,0.123,109.967,"Labyrinth","Midnights (3am Edition)",2022
"31","Taylor Swift",0.0941,0.654,0.638,-7.084,0.075,0.0727,0.497,90.007,"Karma","Midnights (3am Edition)",2022
"32","Taylor Swift",0.392,0.435,0.163,-14.889,0.0509,0.967,0.115,117.747,"Sweet Nothing","Midnights (3am Edition)",2022
"33","Taylor Swift",0.143,0.656,0.341,-14.088,0.157,0.561,0.0871,125.984,"Mastermind","Midnights (3am Edition)",2022
"34","Taylor Swift",0.593,0.57,0.739,-9.013,0.0358,0.213,0.0937,96.025,"The Great War","Midnights (3am Edition)",2022
